               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.037696,             0.01277,           0.0025697,             0.79484,             0.58106,             0.66266,                0.37,            0.048146,           0.0083539,           0.0041567,           0.0091585,           0.0091585,           0.0091585
                  36,            0.036222,            0.013764,           0.0028741,             0.74405,             0.66414,             0.68651,             0.36497,            0.044944,           0.0084432,           0.0033541,           0.0091337,           0.0091337,           0.0091337
                  37,            0.036908,             0.01243,           0.0031986,             0.76658,             0.58434,             0.64302,             0.34619,            0.045634,           0.0092019,            0.003798,            0.009109,            0.009109,            0.009109
                  38,            0.036289,             0.01375,           0.0025053,             0.63246,             0.55999,             0.58992,             0.30607,            0.048726,           0.0092293,           0.0046227,           0.0090843,           0.0090843,           0.0090843
                  39,            0.037164,            0.013074,           0.0036546,             0.79441,             0.60519,             0.63909,             0.34617,            0.046814,            0.009331,           0.0048909,           0.0090595,           0.0090595,           0.0090595
                  40,             0.03616,            0.013386,           0.0035005,             0.83092,             0.63436,             0.66564,             0.36214,            0.046775,           0.0088895,           0.0034462,           0.0090347,           0.0090347,           0.0090347
                  41,            0.036169,            0.012901,           0.0028108,             0.86115,             0.58925,             0.65033,             0.36985,            0.043503,           0.0091241,           0.0040278,             0.00901,             0.00901,             0.00901
                  42,             0.03526,            0.012768,           0.0026607,             0.82452,             0.62353,             0.68355,             0.40168,            0.043612,           0.0084144,           0.0038513,           0.0089853,           0.0089853,           0.0089853
                  43,             0.03511,            0.011982,            0.002161,             0.67106,             0.57327,             0.60944,             0.34936,            0.045835,            0.009806,           0.0053657,           0.0089605,           0.0089605,           0.0089605
                  44,            0.034346,            0.011744,           0.0017448,             0.76899,             0.63931,             0.70344,             0.39987,            0.045513,           0.0080286,           0.0018227,           0.0089358,           0.0089358,           0.0089358
                  45,            0.037143,            0.012319,             0.00256,             0.78051,             0.66329,             0.70076,             0.40996,            0.045189,           0.0082799,           0.0015641,            0.008911,            0.008911,            0.008911
                  46,            0.034709,            0.012239,           0.0015818,             0.74712,             0.70144,             0.69454,             0.40162,            0.045346,           0.0084732,           0.0017016,           0.0088863,           0.0088863,           0.0088863
                  47,            0.035046,            0.013024,           0.0024409,             0.77408,             0.66446,             0.67658,             0.40943,            0.042512,           0.0083134,           0.0024445,           0.0088615,           0.0088615,           0.0088615
                  48,            0.034226,            0.012232,           0.0015805,             0.76745,             0.62525,             0.67429,             0.38272,            0.043403,           0.0087394,           0.0025312,           0.0088368,           0.0088368,           0.0088368
                  49,            0.034752,            0.012867,           0.0023648,             0.73966,             0.63728,             0.64449,             0.39275,            0.043674,           0.0086118,           0.0037651,            0.008812,            0.008812,            0.008812
                  50,            0.034175,            0.011647,           0.0021166,             0.79164,             0.54339,             0.60223,             0.34737,            0.046843,           0.0092409,           0.0065571,           0.0087872,           0.0087872,           0.0087872
                  51,            0.034516,            0.012827,           0.0020202,             0.87104,             0.62192,             0.71002,             0.41343,            0.040911,           0.0081249,           0.0025681,           0.0087625,           0.0087625,           0.0087625
                  52,            0.032619,            0.012631,           0.0022156,             0.73961,             0.69724,             0.70437,             0.37826,            0.042251,           0.0081977,           0.0028344,           0.0087378,           0.0087378,           0.0087378
                  53,            0.032295,            0.011717,           0.0015098,             0.80652,             0.67806,             0.70811,             0.42732,             0.04223,           0.0082307,           0.0042646,            0.008713,            0.008713,            0.008713
