ScreenName,Tweets,DateOfTweets,
GoNUathletics,@casssieeb @GoNUtrack Yes! The first shuttle will leave Chicken Lou's at 9:30am! They will also make trips back to campus at 1pm &amp; 3pm!,2019-04-18 14:55:35
GoNUathletics,RT @GoNUmhockey: We had a lot to celebrate tonight at our year-end banquet. A LOT.||Is it October yet?! | #HowlinHuskies ||🔖: https://t.co/…,2019-04-18 01:41:36
GoNUathletics,Three days until @GoNUtrack hosts the Jay Carisella Coaches Invite in Dedham - can’t wait to see everyone there!… https://t.co/Ibce2bWGiK,2019-04-17 20:00:00
GoNUathletics,RT @GoNUbaseball: BEANPOT | Welcome to the final round of the 30th annual #BaseballBeanpot! ||Walk-up tickets are still available ($10) at…,2019-04-17 16:58:25
NUBouve,Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (fa… https://t.co/e6ShPBn6Pk,2019-04-19 16:33:01
NUBouve,Thank you so much to everyone who participated in Giving Day and helped Bouvé! We appreciate you.,2019-04-12 19:20:33
NUBouve,#NUGivingDay is in full swing and you have 7 more hours to donate! Donate to the Future of Pharmacy fund here: https://t.co/EKYT9PJrnk,2019-04-11 20:03:21
NUBouve,We only need 25 more donors to the #NUGivingDay Future of Pharmacy scholarship in order to unlock $10|000 of univer… https://t.co/k4TCMgkOY8,2019-04-11 18:01:54
NUBouve,RT @StevoSportsMed: Proud to be a Husky because I work with fantastic faculty| staff| students and student-athletes every day!#NUGivingDay…,2019-04-11 17:56:45
NUBouve,Remember that today is all about participation. Donating any amount to Bouvé today can help us unlock funding| scho… https://t.co/dKPeCSkgW5,2019-04-11 16:13:07
NUBouve,#GivingDay means you can drag yourself out of Behrakis for a moment because there are FREE DONUTS AND COFFEE at 9am… https://t.co/R0LRX8EOVN,2019-04-11 12:13:05
NUBouve,On co-op| Andrew Driscoll (https://t.co/FQf5x7PaWQ) provided volunteer nursing care to orphans in a refugee camp on… https://t.co/soOgKldTTi,2019-04-10 20:06:10
NUBouve,RT @mahinrSPT: Tonight was such a special experience| it’s official 🙌🏽 congrats to all the accomplished students @Northeastern. Pinching my…,2019-04-09 20:44:43
NUBouve,Read more about Dr. Thakur's research: https://t.co/xZEoj7aci8,2019-04-09 20:43:42
NUBouve,Healthcare advances depend on research pioneers like Ganesh Thakur| who has identified an unexplored brain receptor… https://t.co/CmqGY2qjKo,2019-04-09 20:43:14
NUBouve,Donate here: https://t.co/EKYT9PJrnk,2019-04-08 18:26:30
NUBouve,These students went to Ghana to study healthcare delivery in another culture and to deliver computer equipment to r… https://t.co/wVxaYa4Vim,2019-04-08 18:26:16
NUBouve,RT @ckim314: I was shocked &amp; honored to win the division of Social Science| Business| and Law at RISE 2019 @Northeastern. I’m extremely hon…,2019-04-05 18:36:18
NUBouve,Donate to the #NUGivingDay Future of Pharmacy Scholarship: https://t.co/WqddtkrOFM,2019-04-05 18:34:41
NUBouve,Read more about Dr. Kulkarni's work here: https://t.co/3qJzyDyy07,2019-04-05 18:33:54
NUBouve,After earning his doctorate| Abhijit Kulkarni combined his extensive lab training with his natural ability to expla… https://t.co/kWRKtfK10E,2019-04-05 18:33:11
NUBouve,RT @rosaliecathrne: Presenting our PT Project on Pain Neuroscience Education at RISE #ChoosePT #GotResearch @ashleywedge https://t.co/AH2Vh…,2019-04-04 18:54:56
NUBouve,RT @BostonSpeechies: Congrats to students Mackenzie Russell and Sina Salehi presenting their research with CSD faculty @kristen_allison in…,2019-04-04 18:53:07
NUBouve,RT @BostonSpeechies: Congrats to Morgan Hines and Laura Fischer presenting on their work with @emzimmy in the Speech and Neurodevelopment L…,2019-04-04 18:53:04
NUCityAffairs,RT @NUCrossing: Our friends in the Center of Community Service are looking for co-ops. If you know students who would be good for the job|…,2019-04-11 09:52:32
NUCityAffairs,@Nobooksnoball @CharlieBakerMA So proud to sponsor such a great program| No Books No Ball!  It is Championship Satu… https://t.co/CZcgXOp68w,2019-04-06 18:46:42
NUCityAffairs,If you are interested in permitting Carter Playground please contact Paul McCaffrey| City of Boston Parks Departmen… https://t.co/tu7L7qemtT,2019-02-13 14:50:08
NUCityAffairs,RT @NU_ACES: @MassPromise is honoring the legacy of Martin Luther King| Jr. by leading a #dayofservice on January 21st at three sites: Free…,2019-01-12 12:01:21
NUCityAffairs,RT @NUCrossing: Next week| come by to check out the RISE session and to learn about @Northeastern's Community Benefits Annual Report. https…,2019-01-12 12:01:00
NUCityAffairs,RT @NUCrossing: In 4 weeks| we will present our 3rd annual Winter Gateway Speaker. This year's guest? Correspondent and author @AprilDRyan!…,2019-01-11 12:47:35
NUCityAffairs,RT @BostonBTD: Thanks to Chief Pat Brophy and our other @Northeastern Huskies from #teambtd for stopping by to wish our engineering co-op C…,2019-01-06 00:18:01
NUCityAffairs,The secret life of trees https://t.co/NKqz8u8kAY,2019-01-04 15:06:13
NUCityAffairs,@MassPromise MLK Day of Service. https://t.co/uDm0LotbPC,2019-01-04 14:57:22
NUCityAffairs,RT @GoNUathletics: With Boston Public Schools Day at @GoNUmbasketball tomorrow| take a look back at the experience the students had at a re…,2018-12-21 22:14:24
NUCityAffairs,RT @GoNUmbasketball: The non-conference season rounds out tomorrow at Noon against St. Bonaventure!||It's @BostonSchools Day at Matthews Ar…,2018-12-21 22:14:18
NUCityAffairs,RT @GoNUmbasketball: It's @BostonSchools day here at Matthews Arena. ||And they are INTO it. https://t.co/TZwb3lVtHJ,2018-12-21 22:13:59
NUCityAffairs,@GoNUmbasketball Game Day!  3:00pm vs Eastern Michigan at Matthews Arena. https://t.co/IqQgZWJU7M,2018-12-01 19:22:30
NUCityAffairs,@NULSCC https://t.co/A2Yvjveld5,2018-11-30 16:15:55
NUCityAffairs,RT @NUCrossing: We're looking forward to celebrating the winter holidays with you. Join us at our third annual Holiday Open House on Dec 11…,2018-11-30 11:09:54
NUCityAffairs,Northeastern Task Force Meeting https://t.co/AcSfqjwyWK,2018-11-29 17:02:03
NUCityAffairs,RT @CarterSchoolBPS: Thank you for your continued support and commitment to our students and community! @marty_walsh @marty_walsh https://t…,2018-11-29 01:57:18
NUCityAffairs,RT @GoNUmbasketball: Well that was fun. ||#HowlinHuskies https://t.co/XUy91tugn1,2018-11-29 01:55:29
NUCityAffairs,RT @GoNUwbasketball: FINAL | 6-0 ✅||The #HowlinHuskies score their first win against a power-five school as a CAA member!||Jess Genco hit e…,2018-11-29 01:55:14
NUCityAffairs,RT @Northeastern: With a thrilling overtime win against BC| @GoNUwhockey extends win streak to 12. #HowlinHuskies https://t.co/gaNweUiA28,2018-11-29 01:54:36
NU_CAMD,RT @dankennedy_nu: Zolan @KannoYoungs of the @nytimes speaks to @NUjournalism graduates at our senior reception. Zolan is one of our many g…,2019-04-19 20:26:08
NU_CAMD,Want to know what's happening in the local #arts world the next few weeks? Check out this list from the… https://t.co/UZE0al057f,2019-04-19 18:15:04
NU_CAMD,RT @NUMUSICDEPT: Looking for plans tonight? Swing by Blackman Auditorium @ 8pm to see the NU Blues &amp; Rock Ensembles play! 🎸 https://t.co/FQ…,2019-04-19 13:00:45
NU_CAMD,.@NatGeo has opened up submissions for their 2019 Travel #Photo Contest| and @Colossal has compiled some of the bes… https://t.co/IDlQ7jdIrL,2019-04-18 20:01:29
