timestamp,lift_A,volume_A,lift_B,volume_B,lift_C,volume_C,lift_D,volume_D,volume_A_Momentum,lift_A_Momentum,3step_MA_lift_A,7step_MA_lift_A,15step_MA_lift_A,Std_Dev_lift_A,volume_B_Momentum,lift_B_Momentum,3step_MA_lift_B,7step_MA_lift_B,15step_MA_lift_B,Std_Dev_lift_B,volume_C_Momentum,lift_C_Momentum,3step_MA_lift_C,7step_MA_lift_C,15step_MA_lift_C,Std_Dev_lift_C,volume_D_Momentum,lift_D_Momentum,3step_MA_lift_D,7step_MA_lift_D,15step_MA_lift_D,Std_Dev_lift_D
2019-06-03 12:00:00,0.556049154,1400,0.626392914,10729,0.5853302779999999,806,0.715346953,4100,-1127.1999999999998,0.009609963700000335,0.560488561,0.5513165632857142,0.5520861244,0.006674344074817588,-2673.6000000000004,0.008324244800000047,0.6303129893333335,0.6225175005714287,0.6230541142666667,0.0056420580640235305,1065.0,0.0058621247000001375,0.5850976003333334,0.579331329142857,0.5778201912666666,0.0048342146281588365,8377.9,0.005613327899999687,0.7176657553333333,0.7119961901428572,0.7120821577333332,0.004028359586841934
2019-06-03 16:00:00,0.549015419,1100,0.620525464,2701,0.581741981,691,0.710635338,1171,-1880.8000000000002,0.0021714738000001566,0.5615556336666666,0.553309027142857,0.5526741642,0.006741095325966262,-2154.2999999999993,0.00196215590000004,0.6312463273333335,0.6241492151428574,0.6235267782666667,0.005695048285019695,-954.3,0.001464308100000089,0.5868454223333333,0.5813581734285712,0.5785951636,0.004856487376378934,-5770.6,0.0011084916999998251,0.7182972099999999,0.7133781730000001,0.7124023563999998,0.004053357297075396
2019-06-03 20:00:00,0.5572042979999999,1922,0.626834541,5913,0.585836421,126,0.715634969,100,-3357.2,-0.004773764699999905,0.5559901563333333,0.5540798745714284,0.552438189,0.006849715628052839,1798.1999999999998,-0.004112280199999985,0.6264439010000001,0.6248089034285716,0.6233511532666667,0.005765044558362746,-858.9000000000001,-0.0009368824999999026,0.5840626833333332,0.5822538011428569,0.5789533664666667,0.00509508431346747,-5549.3,-0.002804765900000339,0.714764385,0.713825334857143,0.7123122139999997,0.004141260148419478
2019-06-04 00:00:00,0.554889418,600,0.624897816,3240,0.584678981,1166,0.713669888,114,-1219.4,-0.0050674650999998905,0.5540896236666665,0.5561071389999999,0.5527872537333333,0.006768688565295189,-1080.8000000000002,-0.004539794900000005,0.6245843063333334,0.6263664032857145,0.6235934721333333,0.005678593733713769,-938.5,-0.0018337327999997655,0.5843028933333333,0.5837674334285712,0.5795993274000001,0.005251071327635576,-6688.9,-0.0030972339000003846,0.7138724199999998,0.7149817701428572,0.7125531799333331,0.004140353914180082
2019-06-04 04:00:00,0.5572042979999999,12694,0.626793525,3015,0.585836421,1749,0.714359918,1410,-989.4000000000001,3.402100000027275e-05,0.5537030449999998,0.5569462817142856,0.5526329283999999,0.006870549714778222,-303.3000000000002,-0.00034663349999985993,0.6240859403333333,0.6270842432857144,0.6234213095333333,0.005743834735157125,-5.2000000000000455,0.0007170106000002896,0.5840857943333333,0.5846972088571426,0.5799983552666668,0.005351683941159858,-1050.0,-6.717390000021695e-05,0.7133133983333332,0.7154692020000002,0.7125501110666664,0.004162507908252584
2019-06-04 08:00:00,0.5577798660000001,609,0.6272968879999999,2000,0.586124205,200,0.715331895,655,3103.8,0.0011743406000002121,0.5564326713333331,0.557568619142857,0.5529428784666666,0.006940616260919977,-1992.1000000000004,0.0007568185000002003,0.6261752939999999,0.6275414754285716,0.6236629050666667,0.005789310784113856,549.9,0.0005728846000002674,0.5854506076666666,0.5855185815714282,0.5806295208000001,0.0054837128612526525,-617.0,8.548979999978279e-05,0.7145549249999998,0.7155988204285716,0.7127086619999996,0.004205796111073722
2019-06-04 12:00:00,0.558354215,11025,0.627792782,20471,0.586482808,450,0.716322362,1400,3266.5,0.0022734222000002635,0.5566245273333332,0.5564354784285713,0.5530582592666666,0.0070740184297350284,-866.3000000000002,0.0017755597000002066,0.6263294096666666,0.6264506390000001,0.6237451479999999,0.005883221290869191,188.10000000000002,0.00113671120000014,0.5855465356666666,0.5849520111428568,0.5811586397333334,0.005518112480630495,342.5,0.0009195048999999234,0.7144539003333333,0.7147556892857144,0.7127967912666663,0.004295017845475089
2019-06-04 16:00:00,0.55949927,200,0.62821066,1346,0.586983907,2800,0.715970552,1114,447.0,0.0009806215000003338,0.5577794596666665,0.5557852382857141,0.5533668917999999,0.007203660196676008,4307.7,0.0008217246000000733,0.6272943983333333,0.6257905614285716,0.6239907781999999,0.005942188418107842,-413.20000000000005,0.0005117393000001469,0.5861478113333333,0.5851472992857139,0.5817891464666667,0.005376852646368591,291.70000000000005,0.0007633220999999635,0.7153380583333333,0.7144716175714286,0.7130827897999996,0.004313227247604411
2019-06-04 20:00:00,0.560639494,1100,0.629150589,7551,0.5876254479999999,400,0.716645372,200,586.8999999999996,0.001381329100000217,0.5585444503333332,0.5562781119999999,0.5539474587333332,0.006590333006432898,4894.1,0.0010033868000001167,0.6277667766666667,0.6260502394285715,0.6244244729333333,0.0054372825901705,352.0,0.0007120931000001995,0.5865303066666666,0.5853835319999997,0.5825556204000001,0.004488681382834833,318.4,0.0010155339999998736,0.7158749363333333,0.7145607031428572,0.7134163470666662,0.003806922539565834
2019-06-05 00:00:00,0.562058353,400,0.630350074,11486,0.5882634489999999,200,0.7180760509999999,1260,-4475.6,0.0013739534000002385,0.5594976596666665,0.557938694142857,0.5551832978666665,0.005969765433304274,-2428.1000000000004,0.000831735700000169,0.628384677,0.6272824001428573,0.6253697847333333,0.00489359798626893,480.20000000000005,0.0006941197000003285,0.587030721,0.5862240272857139,0.5836544924000001,0.004013081075371899,-298.79999999999995,0.000581942199999741,0.7163127619999999,0.7154192794285715,0.7141478336666663,0.0034512325532840113
