Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/3/2019, Retirement Planner Associate,"Westlake, TX",Current Employee ,Not a bad place to start off,Less than a year,0,"Flexibility: This entry-level position allows me the ability to set my own schedule. As long as I work 40 hours in a week and make a certain number of calls a day, I can show up at 7 AM or 10 AM. (This is uncommon throughout the company)

Time off: Fidelity starts at 18 days of paid time off per year. After two years, it is bumped to 23. I love this. It's higher than what a lot of companies offer people with … 


Show More","Pay: You'll get less in salary than at other financial services firms. Fidelity tries to compensate for this with their generous benefits programs. I don't have much experience to compare these to other firms.
Networking: As mentioned above, networking is necessary to move up here. It doesn't come naturally to me, so I put it in the cons. It does require extra time and thought, and the company won't pay you to shadow other positions.",,4,5,4,5,5,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019, Customer Service Representative,"Covington, KY",Former Employee ,Pros and cons,More than 3 years,0,"Great Managers and coworkers
Good PTO, Maternity leave, and paid holidays","pressured overtime work
All of mandatory shift changes
Hard to advance within call center environment",,4,4,5,3,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019,,,Current Employee ,Great employer,Less than a year,0,"Good pay, lots of hours, opportunity for growth","Location, stress, extreme focus on statistics for your perfomance",,4,3,5,5,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/9/2019,,,Current Employee ,Great place to work,,0,Great positive place to work,Management needs to acknowledge hard work,,5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/31/2019, Customer Relationship Advocate,"Merrimack, NH",Current Employee ,Excellent training,More than a year,0,"The licensing is tough but they'll help you every step of the way. The firm contributes to your quality of life every way they can - dental visits in the mobile dental unit, softball teams, HSA, health insurance, matching 401k, creating an all-for-one-and-one-for-all approach to challenging seasons (think tax time, end of business year).","It's corporate America, so if you feel uncomfortable sharing your credit history and more about yourself before you are hired, or don't like being held to metrics for your bonuses and performance reviews, it's not the place for you.","Great job overall, very supportive atmosphere and higher-ups are in touch with the common issues affecting the reps",5,5,5,5,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/18/2019, Customer Service Representative,,Former Employee ,Customer Service Representative,Less than a year,0,"Good training program, great coworkers","Starting out, you will not get the choice of days you work; be prepared to be on the phone for 10 hours per day with a lunch break and 2 other breaks",,3,4,5,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/3/2019,,,Current Employee ,Amazing company,More than 10 years,0,"Excellent benefits, strong leadership, constant innovation.",n / a n / a n / a,"Keep being the strong, committed leader and coaches.",5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/17/2019,,,Former Employee ,Review of work,Less than a year,0,Fun place to work all the time,Work/life balance isn't that great,,2,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/2/2019, Retirement Associate,"Pearland, TX",Current Employee ,Great company and culture,More than a year,0,"The team I worked in was small enough to where everyone knew each other and it felt like a group of friends/family. Management was good, easy going, and allowed for fun events during work like luncheons.","Hard to move out of the sector you were working in, at least in my experience.","Continue to make the work place a great environment, keep supporting your employees, and don't get greedy.",5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/1/2019, Director,"Boston, MA",Current Employee ,Clear Expectations,More than 3 years,0,Comp and Prof growth are clear and predictable,Opportunity for growth is largely based on tenure and HR structure. Manager is important,,4,5,5,3,3,3
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/30/2019, Senior Software Engineer,,Former Employee ,Great place to work,,0,Work life balance is very good,There is lot of bureaucracy,,4,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/29/2019,,,Current Employee ,None,,0,"Competitive compensation, good work environment","Redundant days, day to day exhaustion",,5,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/10/2019, Financial Associate,"Westlake, TX",Former Employee ,Financial associate,More than a year,0,"Great 401k match if you can afford to contribute.
Profit sharing, PTO is given at the beginning of the year, the people work with, training program was good when I went through it, they help pay back your student loans.",It’s a typical call center with hours all over the place. They will tell you there is no “mandatory” overtime but there is and if you opt out of it you will get nasty messages. Bonuses are based off of call surveys which sometimes you will get a bad survey that wasn’t even from a call you took and there’s nothing you can do about it. Even if you move to another product you will still be overloaded with 401k calls. If you have to go to the bathroom and it’s not during a break or lunch it counts against you. If you don’t plan your days off at least a month in advanced it counts against you. There are more things that count against you then for you. The environment has gotten really bad lately and you can feel it when you walk in the door. Fidelity throws benefits at you but then doesn’t bother to check in on the call center. Turnover rate is really high.,Take a look at your call center. Offering a raffle in exchange for overtime hours mean nothing. Passing out a $1 snack item for working a 12 hour day means nothing. Look at other companies around you and see what they do to help out the environment. You will continue to have a high turnover rate until you improve your call center. There are a lot of employees who have been there for a long time that with the new way of doing things are ready to leave. You are going to loose a lot of good people.,2,1,3,2,3,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/10/2019, Executive Assistant,"Merrimack, NH",Former Employee ,Fit their mold or else,More than a year,0,Merrimack site has really nice walking trails outside and great open spaces for collaboration inside,"Management does not act quickly on serious health issues, they may appear to be listening to your environmental concerns but really ignore what is happening right under their nose despite doctor's notes. You can't ask for much in the way of consideration for health issues, you either fit their mold or you are considered a problem and they find a way to dismiss you.",Open seating is a waste of your time and an anxiety for most people. No one really likes it. Window seats are considered a perk?,2,2,2,2,3,2
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/27/2019, Analyst,,Current Employee ,Happy at Fidelity,More than a year,0,There are some great people here at Fidelity.,Culture can be different from group to group across the company.,,5,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/27/2019,,,Former Employee ,Client Management Rep,More than a year,0,"Good culture overall, and the mission was communicated effectively",Pay was not competitive,,4,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/27/2019, Senior Data Analyst,"Smithfield, RI",Current Employee ,Great benefits,More than a year,0,"Great benefits , exposure to various technologies",Can not think of any.,,4,5,5,4,4,4
