timestamp,lift_A,volume_A,lift_B,volume_B,lift_C,volume_C,lift_D,volume_D
6/11/19 12:00,0.596242767,800,0.658278971,2108,0.605498513,230,0.738723522,2400
6/11/19 16:00,0.602128834,12500,0.662676714,4258,0.608441546,717,0.742399035,10255
6/11/19 20:00,0.608352375,720,0.667314844,8013,0.611481888,466,0.745594381,1737
6/12/19 0:00,0.610001303,6173,0.668683454,400,0.612306352,100,0.746542514,100
6/12/19 4:00,0.605977144,100,0.66534267,4499,0.610222844,225,0.744279356,720
6/12/19 8:00,0.604060593,500,0.663752665,1624,0.609335997,2400,0.743126606,425
6/12/19 12:00,0.605738386,400,0.665145233,3089,0.610174893,100,0.744091337,600
6/12/19 16:00,0.613034702,1500,0.671526011,4989,0.62039448,700,0.750055217,359
6/12/19 20:00,0.618989947,1200,0.676516337,13619,0.623300674,303,0.754735343,9043
6/13/19 0:00,0.619441995,100,0.67682488,2437,0.623526698,273,0.753079194,66882
6/13/19 4:00,0.618083294,300,0.674689675,2927,0.622918776,525,0.752258157,521
6/13/19 8:00,0.621689809,400,0.677658467,6243,0.625222033,100,0.753233185,100
6/13/19 12:00,0.615801374,2631,0.673818539,5125,0.621706388,378,0.751619863,1300
6/13/19 16:00,0.615801374,1800,0.672918612,8619,0.624563531,300,0.751326457,162
6/13/19 20:00,0.611639208,900,0.669438887,3971,0.622482447,1537,0.748305006,10000
6/14/19 0:00,0.61488265,2500,0.671642738,2033,0.624104168,6800,0.75044819,400
6/14/19 4:00,0.609295976,4600,0.667544773,1633,0.621310831,1152,0.748226878,1720
6/14/19 8:00,0.610235962,13250,0.66829932,12533,0.621780824,1561,0.748126344,200
6/14/19 12:00,0.605020724,234,0.664154116,8868,0.622958919,450,0.746054139,2195
6/14/19 16:00,0.60164361,5800,0.661448547,2579,0.622270363,583,0.74558153,1500
6/14/19 20:00,0.611172353,6900,0.669330738,7402,0.626534734,100,0.750877224,100
6/15/19 0:00,0.605499396,200,0.66464885,2124,0.624198256,300,0.747798607,303
6/15/19 4:00,0.610235962,3285,0.668553533,1113,0.626066538,101,0.750338798,303
6/15/19 8:00,0.613960433,7789,0.671656136,8400,0.628428774,200,0.752029677,501
6/15/19 12:00,0.623028278,206,0.678638638,58674,0.632391268,1347,0.756684164,1600
6/15/19 16:00,0.625683121,13100,0.680378485,1250,0.634361547,800,0.75873044,100
6/15/19 20:00,0.626122682,159,0.681754612,902,0.634581327,300,0.759049161,3102
6/16/19 0:00,0.627436491,1531,0.682834807,108,0.635238232,200,0.759797602,105
6/16/19 4:00,0.633472996,190,0.687815656,971,0.638185056,220,0.762601376,100
6/16/19 8:00,0.637691115,6464,0.691278599,5824,0.63957983,415,0.764764889,410
6/16/19 12:00,0.63516935,200,0.688872127,813,0.631961804,200,0.761624947,1203
6/16/19 16:00,0.631763969,1300,0.684993354,3769,0.630259114,301,0.758325828,125
6/16/19 20:00,0.632620168,1500,0.68572964,1010,0.630687213,200,0.759459168,1200
6/17/19 0:00,0.632192337,600,0.685396371,6112,0.630401869,100,0.759828,107
6/17/19 4:00,0.645902589,367,0.696240715,325,0.637328423,261,0.76674656,1200
6/17/19 8:00,0.653047479,1800,0.702154711,1190,0.640115154,1483,0.771207802,1202
6/17/19 12:00,0.65615134,100,0.704772821,464,0.642452799,386,0.773280617,1000
6/17/19 15:59,0.670324613,200,0.716643376,3320,0.642396578,200,0.778520176,280
6/17/19 19:59,0.662979781,201,0.710522039,1119,0.638724163,1200,0.773668693,5100
6/17/19 23:59,0.662979781,11040,0.7095205,101772,0.638724163,307,0.773596898,140
6/18/19 3:59,0.668511753,541,0.714103904,147,0.641347291,376,0.776712579,1100
6/18/19 7:59,0.664468682,100,0.710692551,3606,0.638754327,700,0.773550085,1700
6/18/19 11:59,0.659971012,101,0.707019412,4428,0.637148349,200,0.771840665,1400
6/18/19 15:59,0.664839537,139,0.711583877,10106,0.639582612,200,0.775246477,1577
6/18/19 19:59,0.671764176,200,0.717750595,6068,0.641473503,100,0.778745544,404
6/18/19 23:59,0.659971012,300,0.706507324,3635,0.637219778,2094,0.771452753,700
6/19/19 3:59,0.659971012,2100,0.706872463,1214,0.633719778,911,0.771231547,300
6/19/19 7:59,0.65615134,9921,0.703264909,300,0.634381371,1522,0.768351863,5100
6/19/19 11:59,0.65921239,500,0.705905873,1022,0.636840467,5348,0.771721673,9500
6/19/19 15:59,0.666683319,1500,0.712623887,6823,0.64064736,100,0.776393648,240
6/19/19 19:59,0.667782108,1982,0.712649215,642,0.634196754,120,0.774108785,957
6/19/19 23:59,0.6696013,6900,0.713634383,2791,0.634892064,265,0.774726249,408
6/20/19 3:59,0.663725502,700,0.710165089,6423,0.639097023,422,0.774666712,1518
